Zone_x,Code zone,pop_2017,TCAM,prixpoulet,indexpolitic,Disponibilité alimentaire (Kcal/personne/jour),Exportations - Quantité,Importations - Quantité,Nourriture,TCAM_pib,Investment,Pib_hab17
Kenya,114,50221142.0,1.9334164211583182,3290.0,-1.22,2.0,0.0,0.0,34.0,6.4939554576029845,664.568039,1634.068743538329
Kirghizistan,113,6189733.0,1.5251654903992495,2007.7,-0.61,11.0,0.0,25.0,19.0,2.0635492732673733,-107.2,1244.470221090312
Kiribati,83,114158.0,1.153436066545166,4324.788888888889,0.9,63.0,2.6666666666666665,1.0,2.0,1.9842331777290445,0.785,1648.5726712100773
Koweït,118,4056099.0,2.3095640170631704,1409.0,-0.05,156.0,4.0,137.0,188.0,-3.205884981945417,348.122169,29754.636332101363
Lesotho,122,2091534.0,0.6271203619937937,3374.922222222222,-0.23,27.0,0.0,15.0,17.0,0.5810865422158473,123.1,1101.8033974107043
Lettonie,119,1951097.0,-0.9351907622499045,1594.5500000000002,0.45,72.0,20.0,43.0,41.0,1.8945308516858939,667.638188,15623.931571828567
Liban,121,6819373.0,1.8422477346854649,2329.7,-1.64,38.0,4.0,13.0,73.0,2.8059461632306437,2522.409653,7819.604670253409
Libéria,123,4702226.0,2.0242574670382485,2786.1888888888893,-0.45,36.0,0.0,48.0,50.0,5.981317105948447,247.84,587.5940458838006
Lituanie,126,2845414.0,-1.1729688944611794,920.9,0.78,96.0,68.0,44.0,80.0,2.045872284186845,1020.786028,16784.45981217496
Luxembourg,256,591910.0,1.73251865320998,4695.55,1.39,69.0,1.0,11.0,11.0,0.7375768882629918,-27368.646988,111017.18224561166
Macédoine du Nord,154,2081996.0,0.049830594073574375,720.1,-0.27,68.0,1.0,40.0,41.0,2.2237821625264553,205.298178,5430.875558838729
Madagascar,129,25570512.0,2.1695354752790053,1724.75,-0.4,14.0,2.6666666666666665,0.0,73.0,1.9019550356096815,357.862206,515.2933032392938
Malaisie,131,31104646.0,1.0886064046480737,1633.5500000000002,0.19,142.0,44.0,68.0,1220.0,1.1926388695125967,9398.814546,10259.210255664057
Malawi,130,17670196.0,2.1788548052325662,4507.6,-0.19,17.0,2.6666666666666665,0.0,91.0,6.362432181490618,90.199691,506.13721511634617
